date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:26:37	45751/45751	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:51:38%20GMT	http://graphicfort.com/templates/plume/events-left-sidebar.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/events-left-sidebar.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:38	38564/38564	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:51:48%20GMT	http://graphicfort.com/templates/plume/events-wide.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/events-wide.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:39	54593/54593	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jun%202019%2021:53:07%20GMT	http://graphicfort.com/templates/plume/events-single-right-sidebar.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/events-single-right-sidebar.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:40	54591/54591	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jun%202019%2021:53:07%20GMT	http://graphicfort.com/templates/plume/events-single-left-sidebar.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/events-single-left-sidebar.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:41	47905/47905	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jun%202019%2021:53:11%20GMT	http://graphicfort.com/templates/plume/events-single-wide.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/events-single-wide.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:42	47225/47225	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:58:11%20GMT	http://graphicfort.com/templates/plume/widgets.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/widgets.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:43	49674/49674	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:58:05%20GMT	http://graphicfort.com/templates/plume/top-footer.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/top-footer.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:44	38455/38455	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:49:16%20GMT	http://graphicfort.com/templates/plume/copyright.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/copyright.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:45	51848/51848	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:55:00%20GMT	http://graphicfort.com/templates/plume/portfolio-1-right-sidebar.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/portfolio-1-right-sidebar.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:46	48511/48511	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:58%20GMT	http://graphicfort.com/templates/plume/portfolio-1-right-sidebar-title-overlay.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/portfolio-1-right-sidebar-title-overlay.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
